date,ndt_server,upload_throughput,download_throughput
2015-03-22T14:33:07-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.11,33.28
2015-03-22T14:33:40-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,9.11,2.14
2015-03-22T14:34:18-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.17,65.65
2015-03-22T14:34:49-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.2,71.56
2015-03-22T14:35:20-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.0,45.48
2015-03-22T14:39:07-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.4,46.94
2015-03-22T14:39:32-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.32,40.49
2015-03-22T14:39:59-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.34,1.6
2015-03-22T14:40:27-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.3,45.37
2015-03-22T14:40:50-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.36,65.31
2015-03-22T19:01:23-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.5,1.54
2015-03-22T19:01:47-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.53,53.65
2015-03-22T19:02:14-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.68,28.15
2015-03-22T19:02:38-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.57,57.09
2015-03-22T19:03:08-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.67,48.88
2015-03-22T22:09:11-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.17,1.92
2015-03-22T22:09:37-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.43,68.43
2015-03-22T22:10:02-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.17,16.48
2015-03-22T22:10:26-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.36,25.77
2015-03-22T22:10:51-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.55,55.25
2015-03-22T23:19:09-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.62,63.36
2015-03-22T23:19:36-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.66,44.86
2015-03-22T23:20:08-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.63,24.98
2015-03-22T23:20:34-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.57,55.84
2015-03-22T23:21:02-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.52,1.89
2015-03-22T23:25:03-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.52,48.11
2015-03-22T23:25:29-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.39,53.74
2015-03-22T23:25:53-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.38,1.67
2015-03-22T23:26:18-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.51,69.21
2015-03-22T23:26:44-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.28,67.27
2015-03-23T17:27:11-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.03,54.61
2015-03-23T17:27:35-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,9.77,49.34
2015-03-23T17:27:59-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.15,61.26
2015-03-23T17:28:22-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,9.24,60.45
2015-03-23T17:28:46-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,7.48,1.94
2015-03-24T00:29:12-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.59,55.46
2015-03-24T00:35:18-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.55,54.97
2015-03-24T00:35:44-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.52,4.94
2015-03-24T00:36:07-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.59,53.67
2015-03-24T00:36:31-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.65,61.41
2015-03-24T21:36:59-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.64,59.24
2015-03-24T21:37:24-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,9.48,62.59
2015-03-24T21:37:48-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.57,47.75
2015-03-24T21:38:13-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.58,45.4
2015-03-24T21:38:37-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.34,1.93
2015-03-25T07:58:23-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,9.75,55.92
2015-03-25T07:58:46-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.26,63.95
2015-03-25T07:59:12-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,9.85,6.72
2015-03-25T07:59:35-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,9.82,59.56
2015-03-25T08:00:04-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,9.65,25.41
2015-03-27T12:08:57-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,9.58,60.89
2015-03-27T12:09:21-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.34,32.17
2015-03-27T12:09:44-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.29,46.73
2015-03-27T12:10:08-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,9.97,52.82
2015-03-27T12:10:32-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,8.26,19.83
2015-03-27T19:42:13-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.54,89.87
2015-03-27T19:42:37-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.58,40.65
2015-03-27T19:43:01-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.12,57.83
2015-03-27T19:43:25-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,9.84,53.42
2015-03-27T19:43:49-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.57,18.98
2015-03-28T08:44:14-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.62,45.57
2015-03-28T08:44:37-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.63,59.42
2015-03-28T08:45:04-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.46,64.44
2015-03-28T08:45:28-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.39,31.41
2015-03-28T08:45:52-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.4,58.27
2015-03-28T21:46:17-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.68,39.06
2015-03-28T21:46:41-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.69,58.89
2015-03-28T21:47:05-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.68,41.71
2015-03-28T21:47:28-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.7,61.53
2015-03-28T21:47:53-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.69,21.79
2015-03-29T00:26:04-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.7,21.32
2015-03-29T00:26:28-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.71,92.25
2015-03-29T00:26:51-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.7,54.03
2015-03-29T00:27:15-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.7,57.7
2015-03-29T00:27:38-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.72,75.17
2015-03-29T00:50:28-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.69,59.33
2015-03-29T00:50:53-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.71,45.95
2015-03-29T00:51:17-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.71,46.58
2015-03-29T00:51:40-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.68,47.48
2015-03-29T00:52:04-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.6,24.34
2015-03-29T10:52:32-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.46,92.28
2015-03-29T10:52:58-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.55,16.31
2015-03-29T10:53:21-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.54,60.84
2015-03-29T10:53:44-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.18,68.01
2015-03-29T10:54:08-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.18,47.88
2015-03-29T19:54:35-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.6,65.11
2015-03-29T19:54:59-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.38,14.69
2015-03-29T19:55:23-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.33,31.74
2015-03-29T19:55:47-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.1,42.27
2015-03-29T19:56:11-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.37,14.0
2015-03-30T05:56:39-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.7,59.57
2015-03-30T05:57:03-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,1.72,60.0
2015-03-30T05:57:26-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.05,70.84
2015-03-30T05:57:50-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.39,54.92
2015-03-30T05:58:14-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.37,41.65
2015-03-30T12:58:41-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.58,57.17
2015-03-30T12:59:05-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.64,57.68
2015-03-30T12:59:29-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.63,39.64
2015-03-30T12:59:53-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.57,45.56
2015-03-30T13:03:35-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.74,48.21
2015-03-30T22:04:07-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.7,60.24
2015-03-30T22:04:31-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.62,42.16
2015-03-30T22:04:57-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.64,46.44
2015-03-30T22:05:21-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.69,50.17
2015-03-30T22:05:45-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,1.98,9.8
2015-03-31T04:06:12-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.7,58.98
2015-03-31T04:06:36-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.75,42.17
2015-03-31T04:06:59-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.69,55.52
2015-03-31T04:07:24-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.65,41.3
2015-03-31T04:07:49-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.65,37.35
2015-03-31T12:08:16-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,9.37,59.13
2015-03-31T12:08:39-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,9.92,54.24
2015-03-31T12:09:05-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.07,58.03
2015-03-31T12:09:29-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,9.67,36.91
2015-03-31T12:09:52-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.11,32.27
2015-03-31T21:10:20-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,1.88,55.44
2015-03-31T21:10:45-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.25,25.23
2015-03-31T21:11:08-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.04,51.7
2015-03-31T21:11:32-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.51,55.73
2015-03-31T21:11:55-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.35,54.34
2015-04-01T05:12:23-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.18,55.29
2015-04-01T05:12:46-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.68,58.85
2015-04-01T05:13:10-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.19,32.78
2015-04-02T20:05:17-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.23,45.91
2015-04-02T20:05:41-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.27,24.82
2015-04-02T20:06:05-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.2,63.18
2015-04-02T20:06:30-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,8.98,17.41
2015-04-02T20:06:53-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.02,64.46
2015-04-02T20:39:19-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.67,35.49
2015-04-02T20:39:43-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.52,14.89
2015-04-02T20:40:06-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.63,38.45
2015-04-02T20:40:31-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.56,59.75
2015-04-02T20:40:55-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.68,59.51
2015-04-02T20:42:46-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.68,46.93
2015-04-02T20:43:09-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.41,45.37
2015-04-02T20:43:34-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.61,30.69
2015-04-02T20:43:57-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.66,22.01
2015-04-02T20:44:21-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.62,39.08
2015-04-03T04:44:47-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,7.34,23.89
2015-04-03T04:45:11-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,8.29,31.47
2015-04-03T04:45:36-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,8.65,67.68
2015-04-03T04:46:00-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,8.43,44.46
2015-04-03T04:46:23-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.11,51.37
2015-04-03T11:46:50-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.1,54.55
2015-04-03T11:47:14-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,9.81,56.02
2015-04-03T11:47:39-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,9.44,22.93
2015-04-03T11:48:03-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,9.91,61.58
2015-04-03T11:48:27-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,9.5,30.27
2015-04-03T19:48:57-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.22,76.87
2015-04-03T19:49:21-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.25,43.14
2015-04-03T19:49:45-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.12,27.72
2015-04-03T19:50:09-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.16,75.55
2015-04-03T19:50:35-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.21,45.8
2015-04-04T02:51:03-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.59,31.76
2015-04-04T02:51:27-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.66,59.7
2015-04-04T02:51:51-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.67,59.66
2015-04-04T02:52:15-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.54,15.86
2015-04-04T02:52:39-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.7,57.73
2015-04-04T09:53:06-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,9.68,40.92
2015-04-04T09:53:30-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.17,33.05
2015-04-04T09:53:54-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.16,40.2
2015-04-04T09:54:19-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,9.9,19.42
2015-04-04T09:54:42-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.04,50.5
2015-04-04T15:55:35-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,9.58,58.42
2015-04-04T15:55:59-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,8.46,24.56
2015-04-04T15:56:24-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.09,31.74
2015-04-04T15:56:47-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,9.76,49.86
2015-04-04T15:57:10-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,9.36,56.14
2015-04-04T21:57:40-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.52,71.42
2015-04-04T21:58:03-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.6,60.16
2015-04-04T21:58:29-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.38,57.45
2015-04-04T21:58:54-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.6,44.07
2015-04-04T21:59:18-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.59,91.32
2015-04-05T05:59:47-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.66,44.74
2015-04-05T06:00:13-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.57,37.49
2015-04-05T06:00:36-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.66,44.34
2015-04-05T06:01:00-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.54,69.46
2015-04-05T06:01:24-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,8.89,18.79
2015-04-05T16:01:52-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,9.49,65.25
2015-04-05T16:02:16-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,9.89,26.4
2015-04-05T16:02:39-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,9.58,65.3
2015-04-05T16:03:03-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.35,55.73
2015-04-05T16:03:27-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,9.88,76.38
2015-04-05T22:03:58-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.6,36.76
2015-04-05T22:04:23-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.25,13.71
2015-04-05T22:04:47-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,8.85,26.38
2015-04-05T22:05:11-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.44,39.48
2015-04-05T22:05:35-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.33,48.26
2015-04-06T04:06:02-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.71,65.83
2015-04-06T04:06:26-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.53,21.87
2015-04-06T04:06:49-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.71,57.35
2015-04-06T04:07:13-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.6,24.76
2015-04-06T04:07:40-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.68,47.02
2015-04-06T12:08:07-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,9.77,15.4
2015-04-06T12:08:30-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.64,50.7
2015-04-06T12:08:54-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.67,37.84
2015-04-06T12:09:18-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.61,12.51
2015-04-06T12:09:41-0400,ndt.iupui.mlab3.lga02.measurement-lab.org,10.64,51.53
2015-04-06T22:10:09-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,9.97,43.4
2015-04-06T22:10:33-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,8.61,14.56
2015-04-06T22:10:59-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,8.37,13.9
2015-04-06T22:11:23-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.69,47.65
2015-04-06T22:11:49-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.57,11.32
2015-04-07T05:12:14-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.69,54.7
2015-04-07T05:12:40-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.53,17.9
2015-04-07T05:13:04-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.69,41.81
2015-04-07T05:13:30-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.62,53.64
2015-04-07T05:13:54-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.68,46.29
2015-04-07T12:14:20-0400,ndt.iupui.mlab3.lga06.measurement-lab.org,10.67,44.32
2015-04-07T12:14:44-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.66,49.7
2015-04-07T12:15:11-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.59,19.93
2015-04-07T12:15:35-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.48,30.44
2015-04-07T12:15:59-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.66,91.98
2015-04-10T20:07:57-0400,ndt.iupui.mlab1.lga02.measurement-lab.org,10.64,68.07
2015-04-10T20:08:22-0400,ndt.iupui.mlab3.lga04.measurement-lab.org,10.02,15.26
2015-04-10T20:08:47-0400,ndt.iupui.mlab2.lga01.measurement-lab.org,10.52,14.67
2015-04-10T20:09:10-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,9.89,42.45
2015-04-10T20:09:34-0400,ndt.iupui.mlab2.lga05.measurement-lab.org,10.57,39.29
2015-04-11T02:10:01-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.63,90.01
2015-04-11T02:10:25-0400,ndt.iupui.mlab1.lga05.measurement-lab.org,10.64,64.29
2015-04-11T02:10:49-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.57,28.81
2015-04-11T02:11:14-0400,ndt.iupui.mlab3.lga01.measurement-lab.org,10.54,28.59
2015-04-11T02:11:37-0400,ndt.iupui.mlab1.lga06.measurement-lab.org,10.66,74.67
2015-04-11T09:12:04-0400,ndt.iupui.mlab2.lga02.measurement-lab.org,10.57,52.7
2015-04-11T09:12:28-0400,ndt.iupui.mlab2.lga04.measurement-lab.org,10.53,30.7
2015-04-11T09:12:55-0400,ndt.iupui.mlab1.lga01.measurement-lab.org,10.55,25.29
2015-04-11T09:13:18-0400,ndt.iupui.mlab2.lga06.measurement-lab.org,10.63,62.22
2015-04-11T09:13:42-0400,ndt.iupui.mlab3.lga05.measurement-lab.org,10.61,68.35
2015-04-11T15:14:09-0400,ndt.iupui.mlab1.lga04.measurement-lab.org,10.48,14.2
